NOMBRE;ISIN;FEC_VALORACION;VALOR_LIQUIDATIVO;DIVISA
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;14/09/2017;15,023525;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;15/09/2017;15,012744;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;18/09/2017;15,045099;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;19/09/2017;15,056597;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;20/09/2017;15,076703;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;21/09/2017;15,055478;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;22/09/2017;15,04913;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;25/09/2017;15,049318;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;26/09/2017;15,061736;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;27/09/2017;15,091508;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;28/09/2017;15,100227;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;29/09/2017;15,14461;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;02/10/2017;15,199873;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;03/10/2017;15,234678;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;04/10/2017;15,255355;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;05/10/2017;15,275955;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;06/10/2017;15,275787;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;09/10/2017;15,261521;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;10/10/2017;15,26732;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;11/10/2017;15,278202;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;12/10/2017;15,304472;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;13/10/2017;15,331831;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;16/10/2017;15,341722;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;17/10/2017;15,327555;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;18/10/2017;15,345926;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;19/10/2017;15,326045;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;20/10/2017;15,376724;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;23/10/2017;15,385241;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;24/10/2017;15,392447;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;25/10/2017;15,340923;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;26/10/2017;15,387895;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;27/10/2017;15,459224;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;31/10/2017;15,470388;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;02/11/2017;15,501115;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;03/11/2017;15,536526;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;06/11/2017;15,553886;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;07/11/2017;15,550132;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;08/11/2017;15,554427;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;09/11/2017;15,492541;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;10/11/2017;15,452788;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;13/11/2017;15,41846;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;14/11/2017;15,373742;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;15/11/2017;15,291447;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;16/11/2017;15,389342;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;17/11/2017;15,402874;EUR
SANTALUCIA RENTA VARIABLE INTERNACIONAL FI B;ES0112186012;20/11/2017;15,439673;EUR
